player_id,full_name,current_rank,total_prize,country
283070,"Rune, Holger",7,6829997,Denmark
264344,"Shevchenko, Alexander",45,930041,Kazakhstan
283070,"Rune, Holger",7,6829997,Denmark
192013,"Auger-Aliassime, Felix",29,10166964,Canada
79467,"Jasika, Omar",227,365436,Australia
58369,"Bolt, Alex",264,1316051,Australia
79467,"Jasika, Omar",225,365436,Australia
36595,"Kudla, Denis",178,3780958,USA
36678,"Sandgren, Tennys",274,2977482,USA
334293,"Quinn, Ethan",291,190772,USA
39711,"Duckworth, James",108,3025512,Australia
39711,"Duckworth, James",98,3025512,Australia
232057,"Nava, Emilio",146,596559,USA
300293,"Rehberg, Max Hans",490,69813,Germany
197446,"Naw, Hazem",348,38127,Syria
36300,"Travaglia, Stefano",214,1959394,Italy
132558,"Kolar, Zdenek",225,844084,Czech Republic
200159,"Rodionov, Jurij",87,854606,Austria
200159,"Rodionov, Jurij",87,854606,Austria
200159,"Rodionov, Jurij",87,854606,Austria
144102,"Weis, Alexander",300,105203,Italy
54573,"Coria, Federico",85,2177603,Argentina
298057,"Gill, Felix",344,90871,United Kingdom
377489,"Feldbausch, Kilian",409,26377,Switzerland
298057,"Gill, Felix",344,90871,United Kingdom
54573,"Coria, Federico",85,2177603,Argentina
