player_id,full_name,current_rank,total_prize,country
420969,"Kriznik, Matic",1279,2180,Slovenia
384145,"Dominko, Sebastian",1106,6908,Slovenia
384145,"Dominko, Sebastian",1107,6908,Slovenia
238147,"Henning, Philip",745,9727,South Africa
156826,"van Wyk, Kris",414,38964,South Africa
156826,"van Wyk, Kris",414,38964,South Africa
238147,"Henning, Philip",745,9727,South Africa
53183,"Ilkel, Cem",318,611972,Turkey
241718,"Erel, Yanki",336,67890,Turkey
241718,"Erel, Yanki",336,67890,Turkey
53183,"Ilkel, Cem",318,611972,Turkey
52533,"Jakupovic, Dalila",214,990466,Slovenia
87834,"Hon, Priscilla",170,1063361,Australia
58267,"Radanović, Dejana",243,168702,Serbia
376006,"Joint, Maya",336,57328,Australia
158896,"Hurkacz, Hubert",8,12079600,Poland
158896,"Hurkacz, Hubert",8,12079600,Poland
342835,"Kasnikowski, Maks",253,60668,Poland
342835,"Kasnikowski, Maks",253,60668,Poland
293868,"Kudermetova, Polina",158,219618,Russia
327924,"Eala, Alexandra",180,164692,Philippines
288465,"Tabacco, Fausto",494,33824,Italy
59281,"Nishioka, Yoshihito",82,4828586,Japan
59281,"Nishioka, Yoshihito",84,4817528,Japan
157302,"Watanuki, Yosuke",126,841560,Japan
157302,"Watanuki, Yosuke",126,838181,Japan
126402,"Denolly, Corentin",442,172245,France
157462,"Flores, Jesse",951,22194,Costa Rica
329533,"Vilicich, Bautista",819,8267,Argentina
311586,"Agafonov, Egor",584,22353,Russia
165198,"Oetzbach, Adrian",558,30177,Germany
330085,"Popovic, Stefan",536,26127,Serbia
107429,"Turati, Anna",570,56528,Italy
202572,"Gengel, Marek",577,151141,Czech Republic
412849,"Dencheva, Rositsa",875,4720,Bulgaria
177686,"Barranco Cosano, Javier",300,184133,Spain
115463,"Tiurnev, Evgenii",515,169746,Russia
296802,"Visker, Niels",672,19439,Netherlands
215205,"Zhu, Michael",862,41955,USA
145112,"Huesler, Marc-Andrea",199,1348292,Switzerland
321788,"Riedi, Leandro",160,286577,Switzerland
289156,"Zucchini, Arianna",577,19832,Italy
26203,"Gomez, Emilio",544,874393,Ecuador
269909,"Guillen Meza, Alvaro",294,41738,Ecuador
26203,"Gomez, Emilio",544,874393,Ecuador
269909,"Guillen Meza, Alvaro",294,42103,Ecuador
342875,"Pavlova, Kira",462,17578,Russia
158636,"Prisăcariu, Andreea",319,85439,Romania
280837,"Inoue, Hina",480,37736,USA
63220,"Ponchet, Jessika",146,792143,France
290001,"Iordache, Alexandra",1109,14598,Romania
302582,"Heide, Gustavo",238,102447,Brazil
47603,"Monteiro, Thiago",102,2764212,Brazil
47603,"Monteiro, Thiago",102,2764212,Brazil
232459,"Hindova, Denisa",623,37723,Czech Republic
46391,"Struff, Jan-Lennard",25,8021522,Germany
129368,"Koepfer, Dominik",58,2423623,Germany
46391,"Struff, Jan-Lennard",25,8021522,Germany
236833,"Romero Gormaz, Leyre",282,145731,Spain
163636,"Klein, Lukas",142,479006,Slovakia
145130,"Molcan, Alex",135,1782089,Slovakia
145130,"Molcan, Alex",135,1786014,Slovakia
238867,"Ovcharenko, Oleksandr",788,43943,Ukraine
350691,"Szajrych, Jasza",891,11948,Poland
263699,"Strombachs, Robert",342,77483,Germany
